cif_id,true_labels,predictions
293-3_oxalate,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.0977551  0.14091153 0.205      0.175      0.35599761]
28_1478358_t2-_240k,[0.89795918 0.         0.         0.         0.00896057],[0.0677551  0.54423592 0.         0.16666667 0.78266428]
98_1938466_complex2,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.2105102  0.53957105 0.23       0.27333333 0.41626045]
180_hof-6,[0.         0.54423592 0.         0.16666667 0.70728793],[0.11877551 0.49659517 0.315      0.16666667 0.4146356 ]
187_2d-ms,[0.12244898 0.74262735 0.         0.5        0.7479092 ],[0.20252284 0.61812556 0.05247059 0.1968109  0.29134409]
263-bptca-2_hklf5,[0.         0.54423592 0.         0.16666667 0.70728793],[0.40469388 0.46234584 0.22       0.16833333 0.42728793]
36_1566037_imp-19,[0.         0.54423592 0.         0.16666667 0.70728793],[0.19979592 0.49412869 0.285      0.19833333 0.55410992]
45_1555044_1d,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.2877551  0.41214477 0.09       0.205      0.36980287]
13-2d1_mebz,[0.75510204 0.         0.         0.         0.45400239],[0.51816327 0.3366756  0.015      0.16666667 0.80879331]
37_1541092-viii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.15865306 0.02680965 0.45       0.20833333 0.39769773]
168_2087504_hof-30,[0.3877551  0.54155496 0.5        0.16666667 0.49641577],[0.21918367 0.57898123 0.435      0.19666667 0.3687276 ]
160_2056902_tpe2bpy,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.10591837 0.31726542 0.065      0.20833333 0.54633811]
187_3d-thf-pbenzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.27510204 0.29042895 0.16625    0.18       0.28339014]
135_2035078_pfc-42,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.16632653 0.6336193  0.195      0.25333333 0.50719833]
253-hof-fju-46,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.16268222 0.36533512 0.20666667 0.20989899 0.33508483]
168_2087501_hof-30m,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.26387755 0.52836461 0.495      0.16666667 0.30747909]
37_1541091-vii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.14173469 0.05168901 0.34       0.19333333 0.45643967]
