cif_id,true_labels,predictions
293-3_oxalate,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.12078923 0.35508854 0.2019545  0.17289575 0.35224392]
28_1478358_t2-_240k,[0.89795918 0.         0.         0.         0.00896057],[0.12433226 0.51992105 0.05955963 0.17893249 0.68774203]
98_1938466_complex2,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.18756297 0.44816957 0.2583007  0.2013795  0.36740664]
180_hof-6,[0.         0.54423592 0.         0.16666667 0.70728793],[0.10824438 0.47444315 0.25183143 0.1709908  0.49677881]
187_2d-ms,[0.12244898 0.74262735 0.         0.5        0.7479092 ],[0.19301652 0.50989424 0.15182887 0.20497201 0.37624146]
263-bptca-2_hklf5,[0.         0.54423592 0.         0.16666667 0.70728793],[0.29064821 0.4819573  0.19335792 0.17879733 0.46828239]
36_1566037_imp-19,[0.         0.54423592 0.         0.16666667 0.70728793],[0.15728027 0.41402406 0.20574582 0.17074395 0.57641876]
45_1555044_1d,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.26345239 0.47740171 0.17810281 0.18937456 0.35655481]
13-2d1_mebz,[0.75510204 0.         0.         0.         0.45400239],[0.49881075 0.47470468 0.03003452 0.16950921 0.62774491]
37_1541092-viii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.17917995 0.02680965 0.25023571 0.19807691 0.47223336]
168_2087504_hof-30,[0.3877551  0.54155496 0.5        0.16666667 0.49641577],[0.1769753  0.48733834 0.33978897 0.18479761 0.3544934 ]
160_2056902_tpe2bpy,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.10392576 0.35953413 0.09481649 0.18879127 0.55982426]
187_3d-thf-pbenzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.2203097  0.47101123 0.15610572 0.19789505 0.3617917 ]
135_2035078_pfc-42,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.13943811 0.65114831 0.22672046 0.25781053 0.49898471]
253-hof-fju-46,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.17035405 0.47909156 0.17018496 0.1933326  0.39985137]
168_2087501_hof-30m,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.1769753  0.48733834 0.39141463 0.18479761 0.35620344]
37_1541091-vii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.17444867 0.03913762 0.27627341 0.18680132 0.37901706]
84_1867932_6,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12359227 0.52952876 0.36385317 0.20911245 0.34294507]
118_1991981_pentamof-1,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.14861445 0.4805993  0.18746923 0.1904478  0.38027488]
40_1510310_hoifs-3,[0.51020408 0.         0.         0.         0.13560335],[0.32294122 0.36055022 0.12476876 0.11485947 0.52426156]
2_g2cbs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.14457324 0.4558554  0.37571976 0.17197885 0.32994219]
102_1970869_85dmso2c6h6,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.13667579 0.80790142 0.16482408 0.27984816 0.61719991]
189_2038905_cpdc-1,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.11774769 0.36598065 0.08630669 0.1866281  0.62275658]
119_1974671_dy-hhfs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.18444052 0.42938033 0.17104864 0.195651   0.39957291]
42_1579887_phtcz-3,[0.67346939 0.         0.         0.         0.15890084],[0.15613596 0.47621577 0.44313313 0.16818364 0.36017416]
187_3d-p-benzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.22136653 0.47101123 0.15770936 0.19789505 0.35199442]
29_1529718_hof-9,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.12229643 0.53558043 0.14301293 0.19927348 0.48086564]
2172216825mep-hof,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.19110788 0.45381879 0.03590699 0.16336656 0.44585203]
42_1579889_phtcz-1,[0.51020408 0.         0.         0.         0.13560335],[0.14516771 0.50056943 0.31430871 0.16743199 0.23591434]
263-bptca-2,[0.         0.54423592 0.         0.16666667 0.70728793],[0.3104181  0.44793055 0.28511059 0.1839441  0.36152204]
104_1857375_1,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.11459416 0.38537842 0.11036428 0.16842006 0.4869636 ]
270-fju-57,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.13509901 0.46432894 0.13750182 0.18307975 0.36113142]
32_1540572_cphat-1a,[0.         0.54423592 0.         0.16666667 0.70728793],[0.09956121 0.44637558 0.17443737 0.17067982 0.50420689]
38_1578416-tpme-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.23570091 0.48148189 0.14102484 0.19148798 0.43472325]
160_2056901_tpe2tp,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.15249501 0.48236002 0.19067053 0.18948766 0.35360848]
293-1biphenyldicarboxylate,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.14504798 0.35508839 0.18896591 0.17614346 0.34969756]
263-tptca-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.49080575 0.4819573  0.20262647 0.17879733 0.33427262]
58_1841048_-tmahac,[0.16326531 1.         0.5        0.33333333 0.49880526],[0.29605248 0.48439487 0.19453237 0.20400155 0.35904444]
84_1867936_10,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.13099908 0.57095145 0.28930474 0.2071788  0.58218826]
11_1010353_hof-4,[0.         0.54423592 0.         0.16666667 0.70728793],[0.10966795 0.52471775 0.23613424 0.15860015 0.52176367]
192hof-hapcp,[0.18367347 0.45844504 0.         0.16666667 0.12843489],[0.44466299 0.45523998 0.13966228 0.17084884 0.39855503]
157_2078751_hof-16-ethanol,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.17551404 0.48616721 0.34609239 0.18994308 0.35487851]
258-hof-lifm-8,[0.         0.54423592 0.         0.16666667 0.70728793],[0.15325496 0.47421979 0.11437791 0.16950921 0.34650491]
37_1541085-i,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.1315187  0.06755488 0.21850109 0.19813943 0.47630991]
2_g234tmbs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.14195633 0.48283096 0.37205296 0.19789505 0.31009589]
187_3d-thiophene-pbenzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.21746442 0.48208284 0.16814288 0.21032747 0.34963706]
98_1938465_complex1,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.19276057 0.48962178 0.22742208 0.19910831 0.37327825]
10-sof-7,[0.         0.54423592 0.         0.16666667 0.70728793],[0.10541867 0.47289022 0.14136596 0.16970782 0.63414857]
36_1566036_imp-18,[0.         0.54423592 0.         0.16666667 0.70728793],[0.17574092 0.57914523 0.15471922 0.23525754 0.57295006]
162_2076399_pycalow-a,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.18034122 0.48837679 0.1856882  0.17048079 0.27967698]
54_1857527_py6mes25thf,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.21293996 0.52066417 0.12248169 0.18119019 0.48764224]
79_1890648_hof-fe,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.15615948 0.38732848 0.17856572 0.19853434 0.37975091]
141_2027045_hof-nf,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.18673055 0.52443629 0.18624274 0.23978697 0.37060733]
75_1889092_1a6pf6,[0.26530612 0.54155496 0.5        0.16666667 0.28554361],[0.17945308 0.49474981 0.05393307 0.18747777 0.36208866]
73_1908805_hcof-4,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.16278525 0.62093836 0.04919614 0.17898713 0.55496306]
187_3d-benzene,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.22136653 0.47101123 0.15770936 0.19789505 0.35199442]
