cif_id,true_labels,predictions
293-3_oxalate,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.31526237 0.09661802 0.25264819 0.11275678 0.41384251]
28_1478358_t2-_240k,[0.89795918 0.         0.         0.         0.00896057],[ 0.06991567  0.51087258 -0.0489664   0.14104786  0.82595551]
98_1938466_complex2,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.22214732 0.51484846 0.14424159 0.11045171 0.23176173]
180_hof-6,[0.         0.54423592 0.         0.16666667 0.70728793],[0.15406996 0.28010721 0.33840238 0.19605669 0.31915624]
187_2d-ms,[0.12244898 0.74262735 0.         0.5        0.7479092 ],[0.18744908 0.38068995 0.05218051 0.2723421  0.36991532]
263-bptca-2_hklf5,[0.         0.54423592 0.         0.16666667 0.70728793],[0.54934285 0.48847776 0.20978528 0.14487496 0.37989064]
36_1566037_imp-19,[0.         0.54423592 0.         0.16666667 0.70728793],[0.214832   0.20418485 0.09144699 0.05431688 0.34551154]
45_1555044_1d,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.62773127 0.13958796 0.06597087 0.09970959 0.27415857]
13-2d1_mebz,[0.75510204 0.         0.         0.         0.45400239],[ 0.48795716  0.13743113 -0.07234974  0.12120154  0.97928975]
37_1541092-viii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[ 0.15589654 -0.02159631  0.52979595  0.03349826  0.5084114 ]
168_2087504_hof-30,[0.3877551  0.54155496 0.5        0.16666667 0.49641577],[0.30910372 0.54468769 0.36742234 0.18363435 0.34259522]
160_2056902_tpe2bpy,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.13563945 0.47038296 0.22041721 0.18152044 0.34369402]
187_3d-thf-pbenzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[ 0.43448635  0.3357504  -0.0319561   0.25255598  0.217973  ]
135_2035078_pfc-42,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.14288254 0.44853589 0.30260337 0.41365593 0.36959601]
253-hof-fju-46,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.11910778 0.30459647 0.05637302 0.20924452 0.32012516]
168_2087501_hof-30m,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.24810933 0.52240782 0.40589296 0.20617299 0.3101246 ]
37_1541091-vii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.01895285 0.36760714 0.23384008 0.12113954 0.3968533 ]
84_1867932_6,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.07254039 0.57540209 0.28986777 0.28622467 0.16017166]
118_1991981_pentamof-1,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.13302733 0.48700727 0.0642213  0.16246902 0.39729613]
40_1510310_hoifs-3,[0.51020408 0.         0.         0.         0.13560335],[0.08908072 0.29161415 0.03348013 0.15052984 0.23920864]
2_g2cbs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.19150576 0.34382656 0.4542825  0.20159407 0.21066407]
102_1970869_85dmso2c6h6,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.17211311 0.68426394 0.06624231 0.26715289 0.69859025]
189_2038905_cpdc-1,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.21247285 0.23952196 0.00576518 0.24260273 0.46513747]
119_1974671_dy-hhfs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.10552705 0.49135788 0.17772726 0.31149431 0.41379744]
42_1579887_phtcz-3,[0.67346939 0.         0.         0.         0.15890084],[0.20302084 0.53490623 0.4571462  0.19891588 0.19648737]
187_3d-p-benzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[ 0.35405946  0.30672001 -0.00173667  0.26648434  0.26507321]
29_1529718_hof-9,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.11207094 0.44187425 0.23604504 0.11756464 0.19802397]
2172216825mep-hof,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.39143657 0.21272837 0.09583853 0.07898816 0.2636998 ]
42_1579889_phtcz-1,[0.51020408 0.         0.         0.         0.13560335],[0.21773571 0.30261498 0.59381993 0.07569989 0.13188676]
263-bptca-2,[0.         0.54423592 0.         0.16666667 0.70728793],[0.18621698 0.6044583  0.16892638 0.1846605  0.34478098]
104_1857375_1,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.26452244 0.31399454 0.05376209 0.12502959 0.38842802]
270-fju-57,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.09813143 0.70168084 0.17660598 0.18456996 0.65203033]
32_1540572_cphat-1a,[0.         0.54423592 0.         0.16666667 0.70728793],[-0.00994115  0.54069584  0.23860788  0.13114583  0.46544637]
38_1578416-tpme-1,[0.         0.54423592 0.         0.16666667 0.70728793],[ 0.07976285  0.61388317 -0.01780709  0.08751289  0.59882825]
160_2056901_tpe2tp,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12919074 0.3319344  0.41893926 0.1728972  0.44575698]
293-1biphenyldicarboxylate,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.08062547 0.18417224 0.4802274  0.17769834 0.46130999]
263-tptca-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.79016041 0.10962705 0.07229222 0.11906986 0.04297646]
58_1841048_-tmahac,[0.16326531 1.         0.5        0.33333333 0.49880526],[0.59031003 0.3286196  0.15093519 0.20815156 0.18629532]
84_1867936_10,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.18252018 0.4624151  0.17354465 0.25980034 0.16057496]
11_1010353_hof-4,[0.         0.54423592 0.         0.16666667 0.70728793],[0.1075145  0.46393542 0.18518871 0.18602801 0.28293526]
192hof-hapcp,[0.18367347 0.45844504 0.         0.16666667 0.12843489],[0.2908963  0.37006277 0.0981706  0.07019261 0.41469107]
157_2078751_hof-16-ethanol,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.27153891 0.38794083 0.37713271 0.08251758 0.16286638]
258-hof-lifm-8,[0.         0.54423592 0.         0.16666667 0.70728793],[0.08359155 0.5249099  0.20906024 0.14821221 0.39096905]
37_1541085-i,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[-0.00682303  0.35190086  0.15839464  0.24082388  0.54281333]
2_g234tmbs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.09583754 0.40354497 0.50001102 0.17703092 0.14099264]
