cif_id,true_labels,predictions
293-3_oxalate,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.12422719 0.34710084 0.20992159 0.17293433 0.35082813]
28_1478358_t2-_240k,[0.89795918 0.         0.         0.         0.00896057],[0.12131026 0.51884082 0.06078832 0.1762064  0.68341559]
98_1938466_complex2,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.18178579 0.45458015 0.24663532 0.20444727 0.37513528]
180_hof-6,[0.         0.54423592 0.         0.16666667 0.70728793],[0.10737123 0.47493772 0.24245206 0.17176126 0.49183671]
187_2d-ms,[0.12244898 0.74262735 0.         0.5        0.7479092 ],[0.19267477 0.50617957 0.15629517 0.20460661 0.37837617]
263-bptca-2_hklf5,[0.         0.54423592 0.         0.16666667 0.70728793],[0.27881486 0.48214488 0.19157676 0.17846773 0.46050107]
36_1566037_imp-19,[0.         0.54423592 0.         0.16666667 0.70728793],[0.15781315 0.41757245 0.20190266 0.17308021 0.57962679]
45_1555044_1d,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.26249116 0.47689043 0.17575551 0.18790271 0.35426771]
13-2d1_mebz,[0.75510204 0.         0.         0.         0.45400239],[0.50454262 0.47558329 0.03317272 0.16967226 0.62914926]
37_1541092-viii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.17886748 0.02793733 0.25453997 0.1993294  0.47330606]
168_2087504_hof-30,[0.3877551  0.54155496 0.5        0.16666667 0.49641577],[0.17777095 0.48682191 0.33555379 0.18358707 0.35498373]
160_2056902_tpe2bpy,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.10590914 0.35194331 0.09355073 0.18586899 0.55409647]
187_3d-thf-pbenzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.22202186 0.4730626  0.15387797 0.19834216 0.3649453 ]
135_2035078_pfc-42,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.14111459 0.6618157  0.22177569 0.26246604 0.48192909]
253-hof-fju-46,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.16798003 0.48155153 0.16601798 0.19473447 0.38778916]
168_2087501_hof-30m,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.17777095 0.48682191 0.39615682 0.18358707 0.35589508]
37_1541091-vii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.1742129  0.03859829 0.27879376 0.18474206 0.38645572]
84_1867932_6,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12900224 0.53267343 0.36511237 0.20653293 0.343943  ]
118_1991981_pentamof-1,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.15060751 0.48456653 0.19566623 0.1882604  0.39083936]
40_1510310_hoifs-3,[0.51020408 0.         0.         0.         0.13560335],[0.31211695 0.36425052 0.10646967 0.11724615 0.49788982]
2_g2cbs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.14668503 0.45850126 0.37362268 0.17443716 0.32997558]
102_1970869_85dmso2c6h6,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.13505232 0.78339851 0.16137954 0.28028695 0.61161761]
189_2038905_cpdc-1,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.12016906 0.36774769 0.0870182  0.18901008 0.60897688]
119_1974671_dy-hhfs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.19122005 0.42447751 0.17606469 0.19214826 0.3987639 ]
42_1579887_phtcz-3,[0.67346939 0.         0.         0.         0.15890084],[0.15501092 0.4773305  0.45237666 0.16790982 0.3683256 ]
187_3d-p-benzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.22075489 0.47128466 0.16383427 0.19834216 0.35020269]
29_1529718_hof-9,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.12120668 0.53406837 0.14094434 0.20138534 0.47901438]
2172216825mep-hof,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.19091917 0.45109124 0.03800563 0.16551016 0.43577536]
42_1579889_phtcz-1,[0.51020408 0.         0.         0.         0.13560335],[0.13913619 0.49947677 0.34794393 0.16769026 0.24493804]
263-bptca-2,[0.         0.54423592 0.         0.16666667 0.70728793],[0.30350778 0.44683374 0.29828286 0.18347769 0.36582804]
104_1857375_1,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.11211431 0.37354357 0.11497584 0.17013686 0.47387845]
270-fju-57,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.13372545 0.47094422 0.12429492 0.1792879  0.37253754]
32_1540572_cphat-1a,[0.         0.54423592 0.         0.16666667 0.70728793],[0.10243777 0.44721817 0.17356804 0.17112658 0.50671512]
38_1578416-tpme-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.2316721  0.48221872 0.13902433 0.19147277 0.42855369]
160_2056901_tpe2tp,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.1542562  0.48280179 0.19240222 0.1876773  0.35529174]
293-1biphenyldicarboxylate,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.1476179  0.34084745 0.18241983 0.17560907 0.35266456]
263-tptca-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.45630052 0.48214488 0.2148556  0.17830783 0.33748718]
58_1841048_-tmahac,[0.16326531 1.         0.5        0.33333333 0.49880526],[0.28996793 0.48757922 0.19453062 0.20281727 0.36067237]
84_1867936_10,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.13194891 0.56372647 0.297236   0.2104359  0.58694057]
